frame,x,y
134,601.9,370.601
134,634.679,358.751
135,676.675,358.299
135,708.645,371.9
135,735.833,424.514
135,775.866,380.336
135,818.072,410.923
135,851.531,417.62
135,883.634,426.863
135,932.82,418.681
135,965.114,449.423
136,992.527,472.829
136,1010.738,468.955
136,1048.96,466.317
136,1064.85,511.805
136,1104.474,504.994
136,1108.214,509.272
136,1136.726,501.308
136,1167.993,523.593
137,1185.557,509.679
137,1204.902,524.13
137,1209.264,511.631
137,1203.911,509.544
137,1196.458,510.7
137,1149.292,517.316
137,1139.943,514.03
137,1130.057,544.6
138,1123.86,539.308
138,1120.391,538.485
138,1118.485,533.502
138,1108.872,529.022
138,1056.717,527.678
138,1056.476,519.773
138,1026.81,534.589
138,1012.444,546.253
138,1005.579,537.689
139,973.042,518.403
139,974.007,525.198
139,952.872,521.412
139,952.279,518.091
139,942.826,515.906
139,943.812,519.793
139,988.032,552.114
139,1031.903,555.304
140,1044.575,587.837
140,1059.906,613.267
140,1095.017,615.566
140,1117.58,643.856
140,1132.819,668.264
140,1143.96,688.978
140,1143.083,689.327
140,1160.363,705.95
141,1176.39,735.654
141,1187.896,729.412
141,1213.151,749.01
141,1225.063,764.034
141,1218.725,767.43
141,1236.369,796.82
141,1228.923,806.053
141,1223.401,796.454
141,1208.66,750.262
142,1189.466,778.077
142,1188.195,733.049
142,1164.053,729.518
142,1148.134,739.346
142,1148.852,738.169
142,1138.885,713.421
142,1132.157,721.986
142,1122.948,707.595
143,1094.382,726.272
143,1077.049,721.983
143,1064.46,708.21
143,1055.231,698.774
143,1043.388,708.175
143,1004.214,696.024
143,987.927,716.704
143,975.77,712.22
144,964.259,705.86
144,952.121,702.566
144,944.714,697.884
144,950.563,697.139
144,948.49,696.192
144,933.379,692.662
144,918.084,695.403
144,912.548,693.657
144,868.427,691.567
145,872.923,690.973
145,876.675,663.667
145,885.588,687.039
145,905.89,702.278
145,945.747,726.305
145,994.157,784.047
145,1005.211,795.917
146,1029.388,792.562
146,1029.561,806.918
146,1025.256,804.544
146,1021.686,803.125
146,1008.08,799.117
146,1001.936,794.793
146,972.103,793.732
146,947.908,776.812
147,965.023,770.222
147,963.895,770.751
147,959.025,774.482
147,930.053,788.702
147,933.794,789.871
147,925.785,780.56
147,916.185,778.07
147,911.109,777.513
147,912.047,777.625
148,901.1,762.939
148,892.607,773.451
148,880.247,765.927
148,868.524,762.954
148,865.367,754.807
148,854.871,761.883
148,842.153,757.946
148,840.41,768.332
149,837.957,763.494
149,818.486,744.639
149,806.288,754.144
149,802.285,759.404
149,814.45,748.63
149,852.834,738.392
149,875.389,727.733
149,911.639,728.887
150,931.887,710.698
150,981.788,705.172
150,1013.06,689.488
150,1038.661,692.023
150,1064.85,674.39
150,1099.541,678.609
150,1118.996,678.123
150,1110.457,683.353
150,1151.547,683.363
151,1069.97,700.582
151,1148.0,784.902
151,1126.252,763.945
151,1110.252,778.787
151,1040.122,731.96
151,1055.323,711.519
151,1091.318,702.8
151,1182.196,669.687
152,1160.671,687.354
152,1240.907,671.962
152,1225.534,711.527
152,1041.734,751.663
152,1157.78,745.606
152,1179.124,722.161
152,1227.264,716.325
152,1085.033,658.583
153,1385.345,705.559
153,1399.542,686.583
153,1397.646,667.189
153,1413.834,664.608
153,1406.98,689.136
153,1430.657,632.463
153,1403.8,624.536
153,1378.029,616.331
153,1356.115,617.597
154,1338.386,613.764
154,1337.317,600.055
154,1327.622,593.464
154,1303.637,595.141
154,1288.431,589.281
154,1267.721,583.491
154,1231.712,596.82
154,1223.348,619.54
155,1230.382,602.161
155,1233.732,593.503
155,1208.889,573.737
155,1183.669,553.356
155,1169.055,549.594
155,1162.195,558.525
155,1136.222,543.26
155,1121.401,542.16
156,1122.582,561.28
156,1121.128,559.684
156,1120.82,557.287
156,1105.908,569.02
156,1098.372,549.183
156,1078.114,540.961
156,1080.257,536.368
156,1117.288,557.47
156,1117.945,555.907
157,1160.579,545.088
157,1220.457,573.737
157,1225.471,619.2
157,1276.369,587.319
157,1296.298,597.178
157,1302.593,594.965
157,1297.05,613.456
157,1310.79,585.883
158,1303.558,585.123
158,1272.516,569.857
158,1270.096,557.892
158,1248.687,559.246
158,1216.346,551.158
158,1209.87,568.15
158,1214.957,570.625
158,1215.131,571.709
159,1214.62,551.357
159,1200.955,554.67
159,1181.323,562.309
159,1181.195,566.278
159,1178.936,544.77
159,1175.984,552.098
159,1162.618,535.313
159,1139.876,507.554
159,1130.695,545.959
160,1132.516,544.422
160,1134.142,542.78
160,1126.972,540.448
160,1118.631,545.368
160,1117.121,544.628
160,1103.391,549.888
160,1099.981,555.522
160,1106.001,546.228
161,1135.437,528.337
161,1156.234,530.829
161,1212.234,562.993
161,1237.057,572.028
161,1284.66,581.673
161,1316.094,582.355
161,1328.715,609.098
161,1359.469,590.885
162,1349.86,589.836
162,1336.905,597.733
162,1334.965,597.396
162,1332.816,597.569
162,1324.593,590.817
162,1296.119,576.066
162,1287.172,600.16
162,1291.243,600.685
162,1285.893,575.004
163,1274.031,562.202
163,1257.182,564.902
163,1251.992,545.1
163,1253.665,544.163
163,1250.596,539.062
163,1250.687,538.087
163,1241.293,507.26
163,1240.909,511.896
164,1237.164,512.42
164,1238.201,514.41
164,1238.422,513.468
164,1235.255,517.945
164,1232.755,521.104
164,1231.134,526.439
164,1225.099,562.988
164,1224.548,556.535
165,1227.368,555.695
165,1224.958,550.38
165,1234.31,547.655
165,1237.197,530.51
165,1239.393,534.001
165,1238.775,545.045
